elo_run_id,fight_key,fight_year,is_title,A_id,B_id,A_name,B_name,wcA,wcB,same_division,wc_gap,pre_elo_A,pre_elo_B,elo_diff,y,d_sig_strike_acc,d_sig_strike_def,d_sapm_neg,d_td_acc,d_td_def,d_ko_pct,d_sub_pct,d_dec_pct,d_ranked_wins,d_championship_wins,d_total_fights,d_avg_fight_time_min,d_recency_index,d_recent_win_pct5,d_recent_finish_pct5,d_recent_ko_pct5,d_recent_sub_pct5,d_recent_title_bouts5,d_recent_streak,d_recent_ema_form5,d_opp_rank5_neg,d_recent_avg_rank5_neg,d_avg_dec_margin5
13,2007-001-chase beebe--rani yahya,2007,1,16,17,chase beebe,Rani Yahya,185,135,0,50.0,1500.0,1500.0,0.0,1,-38.0,-50.0,2.08,-30.0,-29.0,0.0,-64.7,-35.3,0.0,0.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-002-cub swanson--jens pulver,2007,0,11,18,jens pulver,Cub Swanson,185,145,0,40.0,1500.0,1500.0,0.0,1,-51.0,-59.0,4.0,-50.0,-63.0,-35.0,-10.0,-55.0,-7.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-003-cub swanson--micah miller,2007,0,18,19,Cub Swanson,micah miller,145,185,0,-40.0,1485.0,1500.0,-15.0,1,51.0,59.0,-4.0,50.0,63.0,35.0,10.0,55.0,7.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-004-cub swanson--tommy lee,2007,0,18,20,Cub Swanson,tommy lee,145,185,0,-40.0,1502.38553066424,1500.0,2.3855306642399228,1,51.0,59.0,-4.0,50.0,63.0,35.0,10.0,55.0,7.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-005-diego saraiva--jeremy stephens,2007,0,21,22,Jeremy Stephens,diego saraiva,155,185,0,-30.0,1500.0,1500.0,0.0,1,40.0,58.0,-3.14,38.0,62.0,53.3,0.0,46.7,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-006-din thomas--jeremy stephens,2007,0,21,23,Jeremy Stephens,din thomas,155,185,0,-30.0,1517.2,1500.0,17.200000000000045,0,40.0,58.0,-3.14,38.0,62.0,53.3,0.0,46.7,6.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2007-007-mark hominick--rani yahya,2007,0,17,26,Rani Yahya,mark hominick,135,185,0,-50.0,1472.3333333333333,1500.0,-27.666666666666742,1,38.0,50.0,-2.08,30.0,29.0,0.0,64.7,35.3,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2008-008-cole miller--jeremy stephens,2008,0,21,28,Jeremy Stephens,cole miller,155,185,0,-30.0,1501.51087919163,1500.0,1.5108791916300106,1,40.0,58.0,-3.14,38.0,62.0,53.3,0.0,46.7,6.0,0.0,34.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-1.0,0.4,-0.0,-0.0,3.0
13,2008-009-cub swanson--hiroyuki takaya,2008,0,18,29,Cub Swanson,hiroyuki takaya,145,185,0,-40.0,1504.0352858724557,1500.0,4.035285872455688,1,51.0,59.0,-4.0,50.0,63.0,35.0,10.0,55.0,7.0,0.0,33.0,0.0,0.0,66.66666666666667,50.0,0.0,50.0,0.0,2.0,0.84,-0.0,-0.0,3.0
13,2008-010-david baron--jim miller,2008,0,30,31,Jim Miller,david baron,155,185,0,-30.0,1500.0,1500.0,0.0,1,42.0,56.0,-3.44,45.0,48.0,22.299999999999994,48.1,29.6,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2008-011-drew dober--lumumba sayers,2008,0,32,33,Drew Dober,lumumba sayers,155,185,0,-30.0,1500.0,1500.0,0.0,1,40.0,51.0,-4.33,17.0,56.0,71.5,7.1,21.4,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
13,2008-012-jeremy stephens--rafael dos anjos,2008,0,21,34,Jeremy Stephens,Rafael Dos Anjos,155,170,0,-15.0,1504.5076177172791,1500.0,4.507617717279118,1,-7.0,-2.0,0.08999999999999986,3.0,8.0,34.2,-23.8,-10.399999999999999,-7.0,-2.0,-2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-1.0,0.4,-0.0,-0.0,3.0
13,2008-013-jeremy stephens--spencer fisher,2008,0,21,35,Jeremy Stephens,spencer fisher,155,185,0,-30.0,1507.4978877881736,1500.0,7.497887788173557,0,40.0,58.0,-3.14,38.0,62.0,53.3,0.0,46.7,6.0,0.0,34.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-1.0,0.4,-0.0,-0.0,3.0
13,2008-014-jim miller--matt wiman,2008,0,30,36,Jim Miller,matt wiman,155,185,0,-30.0,1503.0,1500.0,3.0,1,42.0,56.0,-3.44,45.0,48.0,22.299999999999994,48.1,29.6,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
